bias_condition,contour_type,layer,channel_group,n_channels,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation
C_bias,C,h1_exc,C_channels,77,2.0892031,0.034689505,3.3370013,0.051739752,2.0183634164954247,0.03129445046712946,0.12753659868668824,0.0018962690227735451
C_bias,C,h1_exc,straight_channels,51,1.5339528,0.02888717,2.486743,0.045077413,1.5040902633655024,0.02726477802514876,0.08783077104414862,0.0021683239423427206
C_bias,C,td_h1_exc,C_channels,77,1.8898543,0.03340632,3.025383,0.051439952,1.8298831749160436,0.03111311927503132,0.10404154957113981,0.002125608721620796
C_bias,C,td_h1_exc,straight_channels,51,1.4315299,0.032925684,2.3150194,0.050847046,1.400224386321768,0.030754504281383016,0.08391801905762662,0.0023681150084127836
C_bias,straight,h1_exc,C_channels,77,1.7215639,0.029681746,1.4045626,0.023387477,1.6980780171391117,0.028274824983612935,0.05404165546568008,0.0010623191455305131
C_bias,straight,h1_exc,straight_channels,51,1.675791,0.031563733,1.3700885,0.025201228,1.6563996826658132,0.03046759844736727,0.05535122861626392,0.00132543433789515
C_bias,straight,td_h1_exc,C_channels,77,1.6220952,0.030500332,1.3230687,0.024388699,1.599554062479215,0.029485275116820194,0.04752574725706755,0.001174268777804956
C_bias,straight,td_h1_exc,straight_channels,51,1.5355909,0.033886604,1.2549462,0.027045153,1.517195874969965,0.03269685467776151,0.05019230155712982,0.001439539902258764
baseline,C,h1_exc,C_channels,77,1.9652988,0.030304424,3.1546438,0.04596723,1.9080657970037362,0.027802977699540387,0.12252251216300082,0.001872247881077968
baseline,C,h1_exc,straight_channels,51,1.4998863,0.027220229,2.4352174,0.04265222,1.4729253376252882,0.0257979154303461,0.08533360850094873,0.002125310092475823
baseline,C,td_h1_exc,C_channels,77,1.7454474,0.02935268,2.808548,0.045660224,1.6987320409854938,0.027617287956143936,0.10237804904863923,0.002115077961827251
baseline,C,td_h1_exc,straight_channels,51,1.4027867,0.03150111,2.2717657,0.048800882,1.374062599504205,0.029516895123582118,0.08213428550299105,0.002333921983030514
baseline,straight,h1_exc,C_channels,77,1.6335531,0.026319642,1.3354402,0.020901069,1.614510992365298,0.02526882550864433,0.0515996682863755,0.0010466447416438538
baseline,straight,h1_exc,straight_channels,51,1.6469203,0.02988481,1.3475043,0.023922715,1.629095990706508,0.028921912721918127,0.05443951734059749,0.0013176219649828707
baseline,straight,td_h1_exc,C_channels,77,1.5190853,0.027171614,1.2417446,0.02181623,1.5012355480546884,0.02637522949707399,0.046465801475616665,0.001163786127022944
baseline,straight,td_h1_exc,straight_channels,51,1.5129611,0.032709494,1.2371835,0.026145596,1.4957212626471932,0.031609315227452923,0.049764630347886515,0.0014393544665877163
straight_bias,C,h1_exc,C_channels,77,1.9831022,0.0310749,3.1806195,0.046966355,1.923776830723282,0.028407293734709606,0.1235011865734331,0.0018796580173191498
straight_bias,C,h1_exc,straight_channels,51,1.543313,0.028736133,2.5020454,0.044739537,1.5133458387091305,0.027060417338829225,0.08711801675681266,0.0021283199358032687
straight_bias,C,td_h1_exc,C_channels,77,1.7418219,0.029420894,2.8026435,0.04571672,1.6951607346174105,0.027651459902868224,0.10183584923955269,0.0021106799203034605
straight_bias,C,td_h1_exc,straight_channels,51,1.4928982,0.036994778,2.4048855,0.056204606,1.4545793126418438,0.03399498813089264,0.08364268335906162,0.0023125537814142824
straight_bias,straight,h1_exc,C_channels,77,1.6485385,0.027026119,1.3471488,0.02142083,1.628666286557255,0.025897202959801163,0.052248994815244476,0.0010501636716651556
straight_bias,straight,h1_exc,straight_channels,51,1.6888199,0.031557444,1.3806758,0.025151353,1.6691994694180174,0.03040730220899426,0.055392099863529484,0.0013120666445497757
straight_bias,straight,td_h1_exc,C_channels,77,1.513152,0.02725012,1.2368692,0.021867523,1.4953412188406532,0.02643724023619259,0.04627618924122067,0.0011570251197139277
straight_bias,straight,td_h1_exc,straight_channels,51,1.6066481,0.03743047,1.3106732,0.02963663,1.584568314804699,0.035829881404304806,0.05007629860842413,0.0014129777355939292
