condition,contour_type,true_contour_quadrant,n_images,n_match,proportion_match,enrichment_TL,enrichment_TR,enrichment_BL,enrichment_BR,mean_highest_enrichment,mean_true_quadrant_enrichment
baseline,C,BL,6,6,1.0,0.960495825916586,0.8954961966468522,1.850322661403772,0.9159081882404084,1.850322661403772,1.850322661403772
baseline,C,BR,6,6,1.0,1.0423817996487674,0.8575856306306844,1.0739888135896718,1.777634736044697,1.777634736044697,1.777634736044697
baseline,C,TL,6,6,1.0,1.7863120890478819,0.8915685918804158,1.0200136670237483,0.9133612105600019,1.7863120890478819,1.7863120890478819
baseline,C,TR,6,6,1.0,1.011104246015015,1.5416323269142647,1.1246366346973076,0.9029824337234923,1.5416323269142647,1.5416323269142647
baseline,straight,BL,6,6,1.0,1.0256378365428216,0.9207870138429805,1.8176552565561528,0.9202664081163615,1.8176552565561528,1.8176552565561528
baseline,straight,BR,6,6,1.0,0.9752918256998049,0.9322102340348696,1.0562491042429765,1.812148789436893,1.812148789436893,1.812148789436893
baseline,straight,TL,6,6,1.0,1.6094584054491234,0.9276565020434003,1.0390294450486266,0.9524946933567556,1.6094584054491234,1.6094584054491234
baseline,straight,TR,6,6,1.0,1.0154830466957028,1.8124237572125221,0.9797545705643409,0.9425022769781943,1.8124237572125221,1.8124237572125221
matched_bias,C,BL,6,6,1.0,0.9620196374878542,0.9136399757551551,1.7309588238598694,0.9258163913582903,1.7309588238598694,1.7309588238598694
matched_bias,C,BR,6,6,1.0,1.034020387497976,0.8786856430952791,1.0544133546399004,1.669529714980973,1.669529714980973,1.669529714980973
matched_bias,C,TL,6,6,1.0,1.6630920206352575,0.9055617222413749,1.0159140288555288,0.9248398149924872,1.6630920206352575,1.6630920206352575
matched_bias,C,TR,6,6,1.0,1.005846489529591,1.4560793778102907,1.0984954156015923,0.9146259998531309,1.4560793778102907,1.4560793778102907
matched_bias,straight,BL,6,6,1.0,1.0276762092525271,0.9306728711009442,1.689230349778578,0.9327333653786049,1.689230349778578,1.689230349778578
matched_bias,straight,BR,6,6,1.0,0.9819314063280528,0.943311905305413,1.0536478283264492,1.6774116742648815,1.6774116742648815,1.6774116742648815
matched_bias,straight,TL,6,6,1.0,1.5229390046258366,0.9357802196188537,1.0362474457927395,0.9589763767518052,1.5229390046258366,1.5229390046258366
matched_bias,straight,TR,6,6,1.0,1.015522543391099,1.6829878838835708,0.9828324217041161,0.9485802692149291,1.6829878838835708,1.6829878838835708
